"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
103558078,"2025-06-26 06:50:00","6x500m/1:00r row",15:33.1,933.1,6:00.0,360,3000,411,30,524,2:35.5,93,620,158,0,104,41,Hwt,RowErg,No,,"2025-06-26 11:51:00"
103526612,"2025-06-25 07:12:00","6x250m/1:15r SkiErg",8:24.6,504.6,7:30.0,450,1500,237,28,271,2:48.2,74,553,74,0,97,41,,SkiErg,No,,"2025-06-25 12:12:57"
103403777,"2025-06-21 07:09:00","4x500m/1:30r SkiErg",11:31.3,691.3,6:00.0,360,2000,255,27,354,2:52.8,68,533,100,0,97,41,,SkiErg,No,,"2025-06-21 12:09:18"
103340635,"2025-06-19 06:55:00","2000m row",11:17.7,677.7,,,2000,,28,325,2:49.4,72,547,99,0,103,41,Hwt,RowErg,No,,"2025-06-19 11:56:06"
103306753,"2025-06-18 06:41:00","v1:00/2:00r...5 row",15:00.0,900,10:00.0,600,2909,1134,29,620,2:34.6,95,625,154,0,104,41,Hwt,RowErg,No,,"2025-06-18 11:42:01"
103183595,"2025-06-14 08:03:00","3500m row",18:55.5,1135.5,,,3500,,31,601,2:42.2,82,582,181,0,102,41,Hwt,RowErg,No,,"2025-06-14 13:04:30"
102779780,"2025-06-02 07:00:00","v0:45/0:45r...20 row",15:00.0,900,15:00.0,900,3194,1559,30,680,2:20.8,125,730,171,0,105,41,Hwt,RowErg,No,,"2025-06-02 12:01:28"
102692187,"2025-05-30 06:57:00","v2000m/3:00r...3 row",17:31.5,1051.5,6:00.0,360,3500,586,29,608,2:30.2,103,655,190,0,104,41,Hwt,RowErg,No,,"2025-05-30 11:57:49"
102657965,"2025-05-29 06:41:00","v500m/0:45r...12 BikeErg",14:28.5,868.5,9:00.0,540,6000,1839,75,1426,2:24.7,115,697,165,0,56,41,,BikeErg,No,,"2025-05-29 11:42:48"
102545965,"2025-05-26 08:42:00","v1:00/2:00r...5 SkiErg",15:00.0,900,10:00.0,600,2590,603,28,501,2:53.7,67,529,130,0,99,41,,SkiErg,No,,"2025-05-26 13:43:28"
102517167,"2025-05-25 09:15:00","v1:00/1:00r...7 row",10:00.0,600,7:00.0,420,2222,227,28,308,2:15.0,142,789,129,0,107,41,Hwt,RowErg,No,,"2025-05-25 14:15:58"
102516609,"2025-05-25 08:57:00","3x500m/1:00r row",11:28.8,688.8,3:00.0,180,1500,185,21,278,3:49.6,29,399,78,0,104,41,Hwt,RowErg,No,,"2025-05-25 13:57:45"
102452886,"2025-05-23 06:55:00","8x250m/1:00r SkiErg",11:52.0,712,8:00.0,480,2000,271,27,350,2:58.0,62,513,96,0,98,41,,SkiErg,No,,"2025-05-23 11:56:35"
102416808,"2025-05-22 06:59:00","v500m/2:00r...5 row",18:48.9,1128.9,10:00.0,600,3500,741,30,683,2:41.2,83,587,181,0,104,41,Hwt,RowErg,No,,"2025-05-22 12:00:59"
102340659,"2025-05-20 06:56:00","5x2000m/2:00r BikeErg",25:57.5,1557.5,10:00.0,600,10000,1584,70,2117,2:35.7,93,618,265,0,55,41,,BikeErg,No,,"2025-05-20 11:56:54"
102300193,"2025-05-19 06:50:00","v1:00/1:00r...12 row",12:00.0,720,12:00.0,720,2370,1203,28,515,2:31.8,100,643,124,0,105,41,Hwt,RowErg,No,,"2025-05-19 11:51:42"
102244403,"2025-05-17 07:52:00","v2:00/1:00r...7 row",17:00.0,1020,7:00.0,420,3019,588,28,573,2:48.9,73,549,154,0,102,41,Hwt,RowErg,No,,"2025-05-17 12:52:30"
102033215,"2025-05-11 07:11:00","4x10:00/1:15r BikeErg",40:00.0,2400,5:00.0,300,15206,134,69,2794,2:37.8,89,606,404,0,56,41,,BikeErg,No,,"2025-05-11 12:12:04"
102006324,"2025-05-10 07:33:00","v1:00/1:00r...7 SkiErg",17:30.0,1050,17:30.0,1050,3038,1082,28,649,2:52.8,68,533,152,0,98,41,,SkiErg,No,,"2025-05-10 12:34:13"
101975468,"2025-05-09 07:08:00","v4:00/2:00r...7 row",19:00.0,1140,14:00.0,840,3709,1208,29,735,2:33.6,96,631,198,0,105,41,Hwt,RowErg,No,,"2025-05-09 12:08:45"
101899178,"2025-05-07 06:55:00","6x1:00/2:00r SkiErg",6:00.0,360,12:00.0,720,1096,92,30,183,2:44.2,79,571,56,0,98,41,,SkiErg,No,,"2025-05-07 11:56:38"
101858586,"2025-05-06 07:01:00","v3:00/2:00r...5 row",15:00.0,900,10:00.0,600,3046,941,29,575,2:27.7,109,673,166,0,104,41,Hwt,RowErg,No,,"2025-05-06 12:02:21"
101818171,"2025-05-05 06:49:00","8x1:30/0:45r SkiErg",12:00.0,720,6:00.0,360,2234,165,31,388,2:41.1,84,587,115,0,97,41,,SkiErg,No,,"2025-05-05 11:50:50"
101790242,"2025-05-04 09:09:00","4x10:00/2:00r BikeErg",40:00.0,2400,8:00.0,480,14839,809,67,2853,2:41.7,83,584,389,0,56,41,,BikeErg,No,,"2025-05-04 14:10:04"
101760699,"2025-05-03 08:41:00","5x1:15/0:30r SkiErg",6:15.0,375,2:30.0,150,1082,137,28,187,2:53.2,67,531,52,0,98,41,,SkiErg,No,,"2025-05-03 13:41:52"
101759923,"2025-05-03 08:18:00","v5:00/2:00r...4 row",20:00.0,1200,8:00.0,480,4006,746,29,693,2:29.7,104,658,218,0,103,41,Hwt,RowErg,No,,"2025-05-03 13:18:49"
101691880,"2025-05-01 07:09:00","8x500m/0:45r row",20:33.7,1233.7,6:00.0,360,4000,261,28,619,2:34.2,95,628,212,0,103,41,Hwt,RowErg,No,,"2025-05-01 12:10:25"
